name,price,link
ROTTWEIL RW FE .12/76 40 G,1.43 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/rottweil/rottweil-rw-fe-12-76-40-g-_cftyh1/
MIRAGE TIN-ZINC .12/76 35 G,1.53 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-tin-zinc-12-76-35-g-_3gu6g1/
ROTTWEIL RW BI .12/70 36 G,1.62 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/rottweil/rottweil-rw-bi-12-70-36-g-_q6uyp0/
CLEVER MIRAGE NEW SOLENGO SLUG .12/70 28 G,1.62 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/clever-mirage-new-solengo-slug-12-70-28-g-_m8dz3f/
ROTTWEIL RW BI .12/76 40 G,1.83 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/rottweil/rottweil-rw-bi-12-76-40-g-_b771co/
PADRUN DUPLEKS MONOLIT 32 .12/70,1.93 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/d-dupleks/padrun-dupleks-monolit-32-12-70-_5xqsgf/
DUPLEKS MONOLIT 28 .12/70,1.93 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/d-dupleks/dupleks-monolit-28-12-70-_u6xu08/
DUPLEKS MONOLIT 28 MAGNUM .12/76,2.04 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/d-dupleks/dupleks-monolit-28-magnum-12-76-_q1t5w0/
"MIRAGE T3 SUPER MAGNUM .12/89 66 G NR 0 ( 4,0MM ) CARTRIDGE",2.10 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-t3-super-magnum-12-89-66-g-nr-0-40mm-cartridge-_b3bfkt/
WINCHESTER SLUG RACKMASTER .12/67 32G,2.23 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/winchester/winchester-slug-rackmaster-12-67-32g-_irmijf/
WINCHESTER SLUG BRENNEKE EMERALD .12/70 34 G,2.84 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/winchester/winchester-slug-brenneke-emerald-12-70-34-g-_winire/
"ELEY VIP WISMUTH .16/67 26,5 G",2.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/eley/eley-vip-wismuth-16-67-265-g-_fk2ywl/
ELEY VIP WISMUTH .12/67 32 G ,2.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/eley/eley-vip-wismuth-12-67-32-g-_kt5zki/
ELEY VIP WISMUTH .20/67 25 G,2.95 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/eley/eley-vip-wismuth-20-67-25-g-_tb3z4k/
MIRAGE TUNGSHOT T4 .12/70 42 G,6.00 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-tungshot-t4-12-70-42-g-_cnanog/
COMET BEARBANGER .12 SIGNAL CARTRIDGE 5 PCS,15.30 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/ballista/comet-bearbanger-12-signal-cartridge-5-pcs-_ppl9zu/
WHITE WHISTLING .12 SIGNAL CARTRIDGE 5 PCS,15.30 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/ballista/white-whistling-12-signal-cartridge-5-pcs-_3gma7t/
